NOTE  |Author: LavaLoon MHK - v.1.0.0 [2017.10.7]
NOTE  |
NOTE  |
NOTE  |                 @mybot_persian
NOTE  |
NOTE  |     TH9: 2 Lava, 26 Balloons, 10 Minions, 5 WallBreakers, 4 Rage, 1 Haste(CC: 1 Lava, 1 Haste)
NOTE  |     TH10: 2 Lava, 28 Balloons, 15 Minions, 5 WallBreakers, 5 Rage, 1 Haste(CC: 1 Lava, 1 Balloons, 1 Haste)
NOTE  |		TH11: 2 Lava, 28 Balloons, 15 Minions, 5 WallBreakers, 5 Rage, 1 Haste(CC: 1 Lava, 1 Balloons, 1 Rage)
NOTE  |  



      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|       
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |

      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |GEMBOX     |GEMBOX     |
SIDEB |10         |5          |0          |0          |0          |3          |           |           |

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|
MAKE  |A          |FRONT-RIGHT|10         |1          |INT-EXT    |0          |1          |           |
MAKE  |B          |FRONT-LEFT |10         |1          |INT-EXT    |0          |1          |           |
MAKE  |C          |FRONT-LEFT |8          |1          |EXT-INT    |0          |1          |           |
MAKE  |D          |FRONT-RIGHT|8          |1          |INT-EXT    |0          |1          |           |
MAKE  |E          |FRONT-LEFT |10         |-10        |EXT-INT    |0          |0          |           |
MAKE  |F          |FRONT-RIGHT|10         |-10        |EXT-INT    |0          |0          |           |
MAKE  |G          |FRONT-RIGHT|10         |-17        |EXT-INT    |0          |0          |           |
MAKE  |H          |FRONT-LEFT |10         |-17        |EXT-INT    |0          |0          |           |   
MAKE  |I          |FRONT-LEFT |10         |-23        |EXT-INT    |0          |0          |           |
MAKE  |J          |FRONT-RIGHT|10         |-23        |EXT-INT    |0          |0          |           |
MAKE  |K          |FRONT-LEFT |10         |-23        |EXT-INT    |0          |0          |           |
MAKE  |L          |FRONT-RIGHT|10         |-23        |EXT-INT    |0          |0          |           |
MAKE  |M          |FRONT-LEFT |8          |1          |INT-EXT    |0          |1          |           |
MAKE  |N          |FRONT-RIGHT|8          |1          |EXT-INT    |0          |1          |           |
MAKE  |O          |FRONT-RIGHT|10         |-24        |EXT-INT    |0          |0          |           |
MAKE  |P          |FRONT-RIGHT|1          |0          |IGNORE     |0          |0          |INFERNO    |
MAKE  |Q          |RIGHT-FRONT|10         |1          |INT-EXT    |0          |1          |           |
MAKE  |R          |RIGHT-BACK |10         |1          |INT-EXT    |0          |1          |           |
MAKE  |S          |RIGHT-BACK |8          |1          |EXT-INT    |0          |1          |           |
MAKE  |T          |RIGHT-FRONT|8          |1          |INT-EXT    |0          |1          |           |
MAKE  |U          |RIGHT-BACK |10         |-10        |EXT-INT    |0          |0          |           |
MAKE  |V          |RIGHT-FRONT|10         |-10        |EXT-INT    |0          |0          |           |

      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|
DROP  |C          |4-8        |25%        |Ball       |20-30      |10-20      |0          |           |
DROP  |D          |1-7        |25%        |Ball       |20-30      |10-20      |100-200    |           |
DROP  |A          |6          |1          |Lava       |30-50      |30-70      |90-120     |           |
DROP  |B          |6          |1          |castle     |0          |0          |100-200    |           |
DROP  |A          |1          |1          |warden     |0          |0          |1000-1500  |           |
WAIT  |1500-2000  |           |           |           |           |           |           |           |
DROP  |E          |7          |1          |RSpell     |0          |0          |100        |           |
DROP  |F          |7          |1          |RSpell     |0          |0          |500-1000   |           |
DROP  |A          |1-10       |25%        |Mini       |50-60      |0          |0          |           |
DROP  |B          |1-10       |25%        |Mini       |50-60      |0          |200-600    |           |
WAIT  |1500-2000  |           |           |           |           |           |           |           |
DROP  |S          |2-8        |25%        |Ball       |20-30      |10-20      |0          |           |
DROP  |T          |1-5        |25%        |Ball       |20-30      |10-20      |100-200    |           |
DROP  |Q          |1          |1          |Lava       |30-50      |30-70      |90-120     |           |
WAIT  |1500-2000  |           |           |           |           |           |           |           |
DROP  |U          |7          |1          |RSpell     |0          |0          |100        |           |
DROP  |V          |9          |1          |RSpell     |0          |0          |500-1000   |           |
DROP  |Q          |1-10       |25%        |Mini       |50-60      |0          |0          |           |
DROP  |R          |1-10       |25%        |Mini       |50-60      |0          |200-600    |           |
WAIT  |4300-4500  |           |           |           |           |           |           |           |
DROP  |H          |7          |1          |RSpell     |0          |0          |100        |           |
DROP  |G          |8          |1          |RSpell     |0          |0          |3000       |           |
DROP  |G          |1          |1          |RSpell     |0          |0          |100        |           |
DROP  |A          |1          |1          |warden     |0          |0          |50-100     |           |
   
DROPS  |EAGLE     |R:T,B:F,S:A,L:T|1      |FSpell    |0          |0          |0          |           |
RECALC|           |           |           |          |           |           |           |           |
DROP  |J          |10         |1          |HaSpell   |0          |0          |100        |           | 

      |DEFENSE____|OPTIONS________|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|____________|
DROPS |INFERNO    |R:T,B:F,S:A,L:T|1          |FSpell     |0          |0          |0          |            |

      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|
DROP  |J          |7          |1          |HaSpell    |0          |0          |100        |           |
RECALC|           |           |           |           |           |           |           |           | 
DROP  |K          |7          |1          |RSpell     |0          |0          |100        |           | 
DROP  |J          |6          |1          |HaSpell    |0          |0          |0          |           |
DROP  |I          |8          |1          |HaSpell    |0          |0          |100        |           | 
WAIT  |10000-15000|           |           |           |           |           |           |           |
DROP  |A          |1          |3          |wall       |0          |0          |3000-5000  |           |
DROP  |A          |1          |3          |wall       |0          |0          |3000-5000  |           |
WAIT  |5000-7000  |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |king       |30-50      |0          |50-100     |           |
DROP  |A          |1          |3          |wall       |0          |0          |600-1000   |           |
DROP  |A          |1          |1          |queen      |30-50      |100        |50-100     |           | 
DROP  |A-B        |1-10       |1          |REMAIN     |30-50      |100        |50-100     |           | 